atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.56995
In_Seqmsg latency  seq_x2traf:46  "x2write->snf_read":488871:59:37.56995  "snf_write->snf_read":00:00:00.000839
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569968
In_Seqmsg latency  seq_x2traf:47  "x2write->snf_read":488871:59:37.569968  "snf_write->snf_read":00:00:00.000857
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.56998
In_Seqmsg latency  seq_x2traf:48  "x2write->snf_read":488871:59:37.56998  "snf_write->snf_read":00:00:00.000869
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.569997
In_Seqmsg latency  seq_x2traf:49  "x2write->snf_read":488871:59:37.569997  "snf_write->snf_read":00:00:00.000869
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570027
In_Seqmsg latency  seq_x2traf:50  "x2write->snf_read":488871:59:37.570027  "snf_write->snf_read":00:00:00.000899
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.570046
In_Seqmsg latency  seq_x2traf:51  "x2write->snf_read":488871:59:37.570046  "snf_write->snf_read":00:00:00.000918
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569128  "ts_snf_read ":2025-10-08T11:59:37.57006
