logging standalone files in cap_dir:/home/avorovich/pcap/cap
====--PcapFileProcess  fname:/home/avorovich/pcap/o1_missed_produce.pcap

kafka_pay_hex:" 00 00 3e 00| 00 00 00 00| 0b 00 00 01| 00 00 00 11| 00 00 02 00| 00 00 09 00| 00 03 00 00| 00 0c 00 00| 08 00 00 00| 09 00 00 09| 00 00 00 09| 00 00 0a 00| 00 00 06 00| 00 0b 00 00| 00 09 00 00| 0c 00 00 00| 04 00 00 0d| 00 00 00 05| 00 00 0e 00| 00 00 05 00| 00 0f 00 00| 00 05 00 00| 10 00 00 00| 05 00 00 11| 00 00 00 01| 00 00 12 00| 00 00 04 00| 00 13 00 00| 00 07 00 00| 14 00 00 00| 06 00 00 15| 00 00 00 02| 00 00 16 00| 00 00 05 00| 00 17 00 00| 00 04 00 00| 18 00 00 00| 05 00 00 19| 00 00 00 04| 00 00 1a 00| 00 00 04 00| 00 1b 00 00| 00 01 00 00| 1c 00 00 00| 04 00 00 1d| 00 00 00 03| 00 00 1e 00| 00 00 03 00| 00 1f 00 00| 00 03 00 00| 20_trunc_"
kafka found.increasing swin_offset by kafka_len4:503  swin_buf_n:503  swin_offset:0
swin -end kafkaDetectAndStore loop of validation  swin_buf_n:503  swin_offset:503  kafka_per_frame_count:1  candidate:Y
swin_buf_n has been shifted (reduced) to  remaining:0  swin_buf_n:0  "offset before reset":503

FrameParseHeaders MAC  iframe:84  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:04  ether_type_hex:" 00 08"  pkt_len:66
---  iframe:000000000084  tcp_pair_key:192.168.108.1:35132-192.168.108.4:1043  direction:1  th_flags:"ACK  10"  seq_rel:000000000045:000000000045  seq_gap:"            "  tsval:003652815202  ts_ns:00000000003385716656  tcp_pay_len:000000
p_pay_hex:""
p_pay_asci:""

FrameParseHeaders MAC  iframe:85  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:04  ether_type_hex:" 00 08"  pkt_len:102
---  iframe:000000000085  tcp_pair_key:192.168.108.1:35132-192.168.108.4:1043  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000045:000000000081  seq_gap:"            "  tsval:003652815202  ts_ns:00000000003385801656  tcp_pay_len:000036
p_pay_hex:" 00 00 00 20| 00 03 00 09| 00 00 00 01| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 00| 00 00 00 00|"
p_pay_asci:"... ..........redpanda-console......"
swin_buf_n to be extended by frame  previous_swin_buf_n:0  tcp_pay_len_to_add:36  previous_offset:44
swin -start  kafkaDetectAndStore loop of validation  swin_buf_n:36  swin_offset:0  kafka_per_frame_count:0
swin_buf_elems:" 00 00 00 20| 00 03 00 09| 00 00 00 01| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 00| 00 00 00 00|"
swin candidate Req  length:32  api_key:3  api_version:9  correlation_id:1  client_id_len:16  client_id_key:redpanda-console
+++++++++++++kafka req found
swin_buf_n:36  swin_offset:0
swin_buf_elems:" 00 00 00 20| 00 03 00 09| 00 00 00 01| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 00| 00 00 00 00|"
